country,Loading,Loading,Loading,Transport to plant,Transport to plant,Unloading,TOTAL,TOTAL,TOTAL
country,Time,Machinery costs,Waiting time truck driver,60 average speed km/h,Trailer,Waiting time truck driver,Fix,per km,per km/ton
country,h,EUR,EUR.1,EUR/km,EUR.2,EUR.3,EUR.4,EUR/km.1,EUR/km/ton
BE,0.08,3.56,1.31,1.45,6.42,1.31,12.61,0.02,0.47
BG,0.08,2.06,0.56,1.06,2.61,0.56,5.79,0.02,0.22
CZ,0.08,2.34,0.62,1.1,4.08,0.62,7.65,0.02,0.29
DK,0.08,5.14,2.54,1.85,7.91,2.54,18.13,0.03,0.68
DE,0.08,3.41,1.31,1.37,5.99,1.31,12.01,0.02,0.45
EE,0.08,2.26,0.5,1.1,4.14,0.5,7.38,0.02,0.28
IE,0.08,3.29,1.03,1.4,6.29,1.03,11.64,0.02,0.44
EL,0.08,2.83,0.85,1.25,5.17,0.85,9.7,0.02,0.37
ES,0.08,3.19,1.22,1.32,5.28,1.22,10.91,0.02,0.41
FR,0.08,3.52,1.35,1.38,6.49,1.35,12.71,0.02,0.48
IT,0.08,3.59,1.26,1.56,5.82,1.26,11.94,0.03,0.45
CY,0.08,2.82,0.85,1.25,5.09,0.85,9.6,0.02,0.36
LV,0.08,2.11,0.43,1.05,3.87,0.43,6.84,0.02,0.26
LT,0.08,1.99,0.39,1.02,3.49,0.39,6.25,0.02,0.24
LU,0.08,3.38,1.21,1.31,6.97,1.21,12.78,0.02,0.48
HU,0.08,2.12,0.42,1.12,3.33,0.42,6.28,0.02,0.24
MT,0.08,2.44,0.62,1.16,4.32,0.62,7.99,0.02,0.3
NL,0.08,3.83,1.57,1.51,6.37,1.57,13.33,0.03,0.5
AT,0.08,3.33,1.18,1.35,6.37,1.18,12.06,0.02,0.45
PL,0.08,2.27,0.68,1.08,3.35,0.68,6.98,0.02,0.27
PT,0.08,2.3,0.37,1.16,4.67,0.37,7.71,0.02,0.29
RO,0.08,1.88,0.4,0.99,2.8,0.4,5.49,0.02,0.21
SI,0.08,2.47,0.58,1.18,4.65,0.58,8.29,0.02,0.32
SK,0.08,2.24,0.48,1.12,3.93,0.48,7.13,0.02,0.27
FI,0.08,3.59,1.2,1.48,7.0,1.2,12.98,0.02,0.49
SE,0.08,3.84,1.26,1.57,7.71,1.26,14.07,0.03,0.53
UK,0.08,3.65,1.21,1.56,6.56,1.21,12.64,0.03,0.48
HR,0.08,2.12,0.46,1.05,3.79,0.46,6.84,0.02,0.26
AL,0.08,1.67,0.19,0.96,2.55,0.19,4.61,0.02,0.18
BA,0.08,1.66,0.23,0.91,2.81,0.23,4.92,0.02,0.19
MK,0.08,1.5,0.22,0.84,2.32,0.22,4.27,0.01,0.17
ME,0.08,1.71,0.24,0.94,2.83,0.24,5.02,0.02,0.2
RS,0.08,1.69,0.22,0.96,2.64,0.22,4.77,0.02,0.19
XK,0.08,1.62,0.21,0.89,2.81,0.21,4.85,0.01,0.19
UA,0.08,1.25,0.13,0.65,2.8,0.13,4.32,0.01,0.16
TR,0.08,2.35,0.52,1.24,3.44,0.52,6.82,0.02,0.26
MD,0.08,1.33,0.09,0.74,2.8,0.09,4.31,0.01,0.17
CH,0.08,3.79,1.18,1.47,8.9,1.18,15.06,0.02,0.56
