Bus,busmap
AL1-220,AL015
AL10-220,AL035
AL2-220,AL015
AL3-400,AL015
AL4-220,AL011
AL6-220,AL021
AL6-400,AL021
AL7-220,AL034
AL8-400,AL034
AL9-220,AL035
AT1-220,AT126
AT10-220,AT322
AT11-220,AT332
AT12-380,AT113
AT13-380,AT224
AT14-380,AT322
AT15-220,AT335
AT16-220,AT226
AT17-380,AT224
AT18-220,AT341
AT19-220,AT212
AT2-380,AT126
AT20-220,AT211
AT3-380,AT311
AT4-220,AT121
AT5-380,AT127
AT6-380,AT127
AT7-220,AT127
AT8-220,AT112
AT9-220,AT322
BA1-220,BASRP
BA10-220,BABIH
BA11-220,BABIH
BA12-220,BABIH
BA13-400,BASRP
BA14-220,BASRP
BA15-220,BASRP
BA15-400,BASRP
BA16-220,BABIH
BA17-220,BABIH
BA18-220,BABIH
BA19-220,BABIH
BA2-400,BASRP
BA20-220,BABIH
BA21-220,BABIH
BA22-220,BABIH
BA23-220,BABIH
BA24-400,BASRP
BA25-220,BABIH
BA26-220,BASRP
BA3-220,BABIH
BA4-220,BABIH
BA4-400,BABIH
BA5-220,BASRP
BA5-400,BASRP
BA6-220,BABIH
BA7-220,BABIH
BA8-220,BABIH
BA9-220,BABIH
BE1-220,BE251
BE10-380,BE241
BE13-220,BE332
BE14-380,BE352
BE15-380,BE32B
BE16-380,BE32B
BE17-220,BE342
BE2-220,BE251
BE3-220,BE251
BE4-220,BE251
BE5-380,BE211
BE6-380,BE232
BE7-380,BE224
BE8-380,BE224
BE9-380,BE223
BG1-400,BG313
BG10-220,BG313
BG10-400,BG313
BG11-400,BG312
BG12-400,BG331
BG13-400,BG331
BG14-220,BG314
BG15-400,BG331
BG16-400,BG331
BG17-400,BG331
BG18-400,BG312
BG19-400,BG312
BG2-220,BG313
BG20-400,BG331
BG21-220,BG321
BG22-220,BG321
BG23-220,BG321
BG24-220,BG321
BG25-220,BG321
BG26-400,BG412
BG27-400,BG412
BG28-400,BG412
BG29-400,BG412
BG3-220,BG313
BG3-400,BG313
BG30-400,BG341
BG31-400,BG341
BG32-400,BG412
BG33-400,BG412
BG34-400,BG411
BG35-400,BG411
BG36-400,BG412
BG37-400,BG412
BG38-220,BG321
BG39-220,BG342
BG4-400,BG313
BG40-220,BG411
BG41-220,BG411
BG42-220,BG411
BG43-220,BG411
BG44-220,BG342
BG45-220,BG342
BG46-220,BG341
BG47-220,BG344
BG48-400,BG414
BG49-220,BG344
BG5-400,BG313
BG50-220,BG342
BG51-400,BG414
BG52-400,BG414
BG53-400,BG414
BG54-400,BG341
BG55-220,BG344
BG57-220,BG342
BG57-400,BG342
BG58-400,BG421
BG6-400,BG313
BG60-400,BG413
BG61-220,BG423
BG62-400,BG413
BG63-400,BG422
BG64-400,BG344
BG65-400,BG344
BG66-400,BG344
BG68-220,BG423
BG7-400,BG313
BG70-220,BG423
BG71-220,BG421
BG72-400,BG422
BG74-220,BG424
BG75-220,BG424
BG76-220,BG424
BG8-400,BG313
BG9-400,BG313
CH1-220,CH033
CH11-220,CH023
CH12-220,CH055
CH12-380,CH055
CH13-220,CH063
CH14-220,CH021
CH14-380,CH021
CH15-220,CH061
CH16-380,CH051
CH17-380,CH055
CH18-220,CH051
CH18-380,CH051
CH19-220,CH064
CH2-220,CH033
CH20-220,CH064
CH21-220,CH056
CH22-220,CH056
CH22-380,CH056
CH23-220,CH062
CH24-220,CH062
CH25-220,CH021
CH26-220,CH062
CH27-220,CH021
CH28-220,CH062
CH29-220,CH056
CH29-380,CH056
CH3-220,CH040
CH30-380,CH056
CH31-220,CH011
CH32-220,CH070
CH33-380,CH056
CH34-220,CH012
CH34-380,CH012
CH35-220,CH070
CH36-220,CH012
CH37-380,CH056
CH38-220,CH070
CH39-220,CH012
CH4-220,CH055
CH40-220,CH070
CH41-380,CH056
CH42-220,CH070
CH43-220,CH021
CH44-220,CH012
CH45-220,CH056
CH46-220,CH012
CH47-220,CH012
CH48-225,CH012
CH49-225,CH012
CH5-220,CH033
CH50-220,CH070
CH51-220,CH013
CH51-225,CH013
CH51-400,CH013
CH52-220,CH013
CH53-225,CH012
CH56-220,CH070
CH57-220,CH013
CH57-225,CH013
CH58-220,CH070
CH59-220,CH070
CH6-220,CH040
CH60-225,CH012
CH7-220,CH033
CH9-220,CH055
CZ1-400,CZ042
CZ10-400,CZ063
CZ11-220,CZ020
CZ12-400,CZ063
CZ13-400,CZ064
CZ14-400,CZ031
CZ15-400,CZ063
CZ16-380,CZ064
CZ16-400,CZ064
CZ2-380,CZ042
CZ2-400,CZ042
CZ3-400,CZ042
CZ4-220,CZ042
CZ5-400,CZ042
CZ6-400,CZ042
CZ7-220,CZ041
CZ8-400,CZ053
CZ9-400,CZ020
DE1-220,DE80L
DE10-380,DE939
DE100-220,DEA56
DE100-380,DEA56
DE102-220,DEA56
DE102-380,DEA56
DE103-380,DEE0B
DE104-380,DE736
DE105-220,DEA56
DE106-220,DEA12
DE107-220,DEA12
DE107-380,DEA12
DE108-220,DE91C
DE109-220,DEA58
DE11-380,DE939
DE110-220,DEA12
DE110-380,DEA12
DE111-380,DEA1C
DE112-380,DEA11
DE113-220,DEA14
DE114-380,DEA1D
DE117-380,DEA1D
DE118-220,DEA11
DE119-380,DED52
DE12-380,DE600
DE121-380,DE736
DE122-220,DEA1C
DE124-380,DEA1C
DE125-220,DEA1D
DE125-380,DEA1D
DE126-220,DEA24
DE127-380,DEA1D
DE128-380,DEA1D
DE129-220,DEA23
DE13-380,DE937
DE130-380,DEA23
DE131-220,DEA27
DE132-220,DEA5A
DE133-380,DEA26
DE134-380,DEG0G
DE135-220,DEA5A
DE136-380,DEA27
DE137-220,DEA5A
DE137-380,DEA5A
DE138-220,DEA27
DE138-380,DEA27
DE139-220,DEA27
DE139-380,DEA27
DE14-380,DE937
DE140-380,DEB13
DE141-380,DEA2D
DE142-380,DED45
DE143-380,DEB13
DE144-380,DEA2C
DE145-220,DEA5A
DE146-380,DE722
DE147-380,DEB13
DE148-220,DEB13
DE148-380,DEB13
DE149-380,DED42
DE15-220,DE937
DE150-380,DEB13
DE151-220,DEG0I
DE152-380,DE722
DE153-380,DEA2C
DE154-380,DEA2C
DE155-380,DEB11
DE156-380,DE723
DE157-380,DE249
DE158-380,DE249
DE159-380,DE712
DE16-220,DE40I
DE160-220,DE712
DE161-380,DE71A
DE162-380,DE71A
DE163-220,DE26B
DE164-220,DEB23
DE165-380,DE716
DE166-220,DEB3J
DE167-380,DEB23
DE168-380,DE716
DE169-220,DE26A
DE17-380,DE94D
DE170-380,DEB25
DE171-220,DEB3J
DE172-220,DEB25
DE172-380,DEB25
DE173-220,DEB25
DE174-220,DEB3I
DE175-220,DEC02
DE176-220,DE128
DE177-220,DEC04
DE178-380,DE128
DE179-220,DE127
DE18-220,DE40F
DE18-380,DE40F
DE180-220,DE128
DE181-380,DE128
DE182-380,DE123
DE183-220,DE122
DE184-380,DE115
DE185-380,DE115
DE186-380,DE12B
DE187-380,DE12B
DE188-380,DE116
DE189-380,DE115
DE19-380,DE40F
DE190-380,DE115
DE191-380,DE116
DE192-380,DE113
DE193-380,DE113
DE194-220,DE134
DE195-380,DE113
DE196-380,DE112
DE197-380,DE113
DE198-380,DE141
DE199-380,DE141
DE2-220,DE80L
DE20-380,DE949
DE200-380,DE278
DE201-220,DE22A
DE202-220,DE279
DE202-380,DE279
DE203-220,DE22A
DE204-220,DE22A
DE205-220,DE279
DE205-380,DE279
DE206-220,DE22A
DE207-380,DE136
DE208-380,DE136
DE209-380,DE136
DE21-220,DE40A
DE211-220,DE21D
DE212-220,DE21D
DE213-380,DE13A
DE22-220,DE300
DE22-380,DE300
DE23-220,DE405
DE23-380,DE405
DE24-220,DE405
DE24-380,DE405
DE25-380,DE408
DE26-380,DE405
DE27-220,DE409
DE27-380,DE409
DE28-380,DE927
DE29-220,DEE0D
DE3-220,DE80L
DE30-220,DE922
DE30-380,DE922
DE31-380,DE949
DE32-220,DE922
DE33-380,DE94E
DE34-380,DE94E
DE35-220,DE94E
DE35-380,DE94E
DE36-220,DE91A
DE37-220,DEA37
DE38-220,DE94E
DE39-220,DEA37
DE4-220,DEF02
DE40-220,DE925
DE41-380,DEA37
DE42-220,DE94E
DE43-220,DE912
DE44-380,DE917
DE45-380,DEA37
DE46-380,DE40C
DE47-220,DEE03
DE49-380,DE926
DE5-380,DE803
DE50-380,DEA37
DE51-220,DEA45
DE52-220,DEA41
DE53-380,DEA33
DE54-380,DEA36
DE55-220,DE926
DE56-380,DEA33
DE57-380,DE918
DE58-380,DE40G
DE59-220,DE918
DE6-380,DEF0E
DE60-220,DE918
DE61-380,DEA38
DE62-220,DEA1F
DE62-380,DEA1F
DE63-220,DEA47
DE64-220,DEA5C
DE65-380,DEA5C
DE66-220,DEA1F
DE66-380,DEA1F
DE67-220,DEA1F
DE67-380,DEA1F
DE68-220,DEA5C
DE68-380,DEA5C
DE69-220,DEA36
DE69-380,DEA36
DE7-220,DEF0E
DE70-220,DEA1F
DE70-380,DEA1F
DE71-220,DEA5C
DE72-220,DEA36
DE73-220,DEA1F
DE73-380,DEA1F
DE74-220,DEA1F
DE74-380,DEA1F
DE75-380,DEA36
DE76-380,DEA36
DE77-220,DEA1F
DE77-380,DEA1F
DE78-220,DEA36
DE79-220,DEA1F
DE8-380,DEF09
DE80-220,DEA55
DE80-380,DEA55
DE81-220,DEA55
DE82-220,DEA55
DE83-220,DEA17
DE84-220,DEA13
DE85-380,DEA5C
DE86-220,DEA13
DE87-220,DEA51
DE87-380,DEA55
DE88-380,DEA5C
DE89-220,DEA13
DE89-380,DEA13
DE9-380,DE80J
DE91-380,DEA52
DE92-220,DEA16
DE93-220,DEA1F
DE94-380,DEA57
DE95-380,DEA57
DE96-220,DEA56
DE96-380,DEA56
DE97-220,DEA1F
DE98-220,DEA51
DE99-380,DED2D
DK1-400,DK050
DK10-400,DK032
DK11-400,DK031
DK12-400,DK031
DK13-220,DK022
DK15-380,DK032
DK16-380,DK032
DK16-400,DK032
DK2-400,DK050
DK3-400,DK050
DK4-400,DK050
DK5-400,DK050
DK6-220,DK042
DK7-220,DK032
DK8-400,DK032
DK9-400,DK032
EE3-330,EE001
EE4-330,EE001
EE6-220,EE009
ES1-400,ES112
ES10-220,ES130
ES100-220,ES513
ES101-220,ES113
ES102-220,ES113
ES103-220,ES113
ES103-400,ES113
ES104-220,ES113
ES105-220,ES114
ES106-220,ES113
ES107-220,ES114
ES108-220,ES513
ES109-220,ES114
ES11-220,ES130
ES110-220,ES114
ES113-220,ES114
ES114-400,ES220
ES116-220,ES220
ES117-220,ES113
ES118-220,ES113
ES12-220,ES213
ES12-400,ES213
ES120-220,ES114
ES121-220,ES220
ES122-220,ES419
ES123-220,ES241
ES124-220,ES220
ES125-400,ES418
ES126-400,ES243
ES127-220,ES414
ES128-400,ES414
ES129-220,ES419
ES13-220,ES120
ES130-220,ES414
ES131-220,ES241
ES132-400,ES418
ES133-400,ES511
ES134-400,ES418
ES135-220,ES511
ES136-220,ES414
ES137-220,ES417
ES138-220,ES243
ES139-220,ES243
ES14-400,ES130
ES140-220,ES243
ES141-220,ES243
ES142-220,ES243
ES143-400,ES511
ES144-400,ES243
ES145-220,ES511
ES146-220,ES418
ES147-220,ES418
ES148-220,ES511
ES149-220,ES243
ES15-220,ES111
ES150-220,ES418
ES151-220,ES418
ES152-220,ES511
ES153-220,ES243
ES154-220,ES243
ES155-220,ES511
ES156-220,ES419
ES157-220,ES243
ES158-220,ES418
ES159-220,ES418
ES16-220,ES212
ES160-220,ES243
ES161-220,ES511
ES162-400,ES511
ES163-220,ES511
ES164-400,ES418
ES165-220,ES511
ES166-220,ES511
ES167-400,ES419
ES168-220,ES511
ES169-220,ES511
ES17-220,ES212
ES170-400,ES514
ES171-220,ES511
ES172-220,ES511
ES173-220,ES511
ES174-220,ES511
ES175-220,ES514
ES176-220,ES243
ES177-220,ES243
ES178-220,ES243
ES18-220,ES120
ES18-400,ES120
ES180-400,ES243
ES181-220,ES514
ES182-220,ES419
ES183-220,ES415
ES184-220,ES416
ES185-400,ES511
ES186-400,ES243
ES187-220,ES514
ES188-220,ES415
ES189-220,ES514
ES19-220,ES212
ES190-400,ES242
ES191-220,ES415
ES192-220,ES514
ES193-220,ES514
ES194-220,ES242
ES195-220,ES243
ES196-400,ES417
ES197-400,ES514
ES198-220,ES242
ES199-220,ES514
ES199-400,ES514
ES20-400,ES130
ES200-400,ES416
ES201-400,ES242
ES202-220,ES242
ES203-400,ES300
ES204-400,ES300
ES205-400,ES415
ES206-400,ES300
