sector,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Nahrung,19035,17728,16486,16782,16261,17062,17132,17335,15625,15713
Textil / Leder,1845,1742,1450,1497,1433,1488,1331,1496,1371,1112
Papier / Druck,12407,12257,11100,11086,9530,9436,8482,9186,8850,7657
Chemie / Pharma,27253,27050,27501,26953,26506,26055,24889,25595,25028,23240
Zement / Beton,15513,13307,13576,13429,13263,13221,12612,12843,12919,11400
Andere NE-Mineralien,4029,3820,3884,4254,3546,3577,3475,3602,3603,3178
Metall / Eisen,7841,7889,7638,8049,8053,7188,7051,6872,6782,5531
NE-Metall,3386,3037,2833,2813,2743,2931,2719,2992,2896,2653
Metall / Geräte,14652,14993,14272,14689,14300,15037,13946,15042,13862,12578
Maschinen,4561,4724,4861,4957,4365,4364,4061,4290,3698,3545
Andere Industrien,10750,10825,10225,9833,9689,9545,8696,9371,8823,8157
current electricity,55142,53760,51302,52173,51604,51389,48933,51730,50926,46969
,,,,,,,,,,
,,,,,,,,,,
"source: https://pubdb.bfe.admin.ch/de/publication/download/11817, accessed August 2024",,,,,,,,,,
