,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,Status
0,Almaraz,Nuclear,Steam Turbine,PP,Spain,0.0,,2045.0,,,39.807,-5.6986,,,,,,G100000500240,operating
1,Almaraz,Nuclear,Steam Turbine,PP,Spain,0.0,,2045.0,,,39.807,-5.6986,,,,,,G100000500239,operating
2,Asco,Nuclear,Steam Turbine,PP,Spain,0.0,,2045.0,,,41.1993,0.5694,,,,,,G100000500243,operating
3,Asco,Nuclear,Steam Turbine,PP,Spain,0.0,,2045.0,,,41.1993,0.5694,,,,,,G100000500242,operating
4,Belleville,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,47.5103,2.87501,,,,,,G100000500060,operating
5,Belleville,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,47.5103,2.87501,,,,,,G100000500061,operating
6,Beznau,Nuclear,Steam Turbine,PP,Switzerland,0.0,,2045.0,,,47.552,8.2281,,,,,,G100000500505,operating
7,Beznau,Nuclear,Steam Turbine,PP,Switzerland,0.0,,2045.0,,,47.552,8.2281,,,,,,G100000500504,operating
8,Blayais,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,45.256,-0.6932,,,,,,G100000500296,operating
9,Blayais,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,45.256,-0.6932,,,,,,G100000500295,operating
10,Blayais,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,45.256,-0.6932,,,,,,G100000500294,operating
11,Blayais,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,45.256,-0.6932,,,,,,G100000500293,operating
12,Bohunice,Nuclear,Steam Turbine,PP,Slovakia,1200.0,,2045.0,,,48.4968,17.6907,,,,,,G100000501269,pre-construction
13,Bohunice,Nuclear,Steam Turbine,PP,Slovakia,0.0,,2045.0,,,48.4968,17.6907,,,,,,G100000500460,operating
14,Bohunice,Nuclear,Steam Turbine,PP,Slovakia,0.0,,2045.0,,,48.4968,17.6907,,,,,,G100000500459,operating
15,Borssele,Nuclear,Steam Turbine,PP,Netherlands,0.0,,2045.0,,2033.0,51.4312,3.7174,,,,,,G100000500496,operating
16,Borssele,Nuclear,Steam Turbine,PP,Netherlands,1650.0,,2035.0,,,51.4312,3.7174,,,,,,G100000501226,pre-construction
17,Borssele,Nuclear,Steam Turbine,PP,Netherlands,1650.0,,2035.0,,,51.4312,3.7174,,,,,,G100000501225,pre-construction
18,Bradwell,Nuclear,Steam Turbine,PP,United Kingdom,1150.0,,2030.0,,,51.7428,0.9047,,,,,,G100000500710,pre-construction
19,Bradwell,Nuclear,Steam Turbine,PP,United Kingdom,1150.0,,2045.0,,,51.7428,0.9047,,,,,,G100000500716,pre-construction
20,Bugey,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,45.7973,5.2706,,,,,,G100000500309,operating
21,Bugey,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,45.7973,5.2706,,,,,,G100000500303,operating
22,Bugey,Nuclear,Steam Turbine,PP,France,0.0,,2045.0,,,45.7973,5.2706,,,,,,G100000501176,announced
