country,dh_connection_rate_2020,dh_connection_rate_2050,national_dh_share_2020,national_dh_share_2050,distribution_cost_ceiling_2050_eur_per_MWh,demand_in_dh_areas_2020_GWh,demand_in_dh_areas_2050_GWh,heat_demand_covered_by_dh_2020_GWh,heat_demand_covered_by_dh_2050_GWh,avg_distribution_cost_eur_per_MWh
AT,0.55,0.8,0.253,0.332,36,38763,19890,21319,15912,28.1
BE,0.15,0.7,0.034,0.141,34,26027,10636,3904,7445,32.8
BG,0.64,0.75,0.267,0.349,38,10160,7382,6503,5536,28.7
CZ,0.44,0.8,0.247,0.43,35,51729,30994,22761,24795,28.1
DE,0.32,0.75,0.149,0.324,36,375321,171208,120103,128406,33.0
DK,0.88,0.9,0.528,0.467,40,35273,20287,31040,18259,32.6
EE,0.58,0.8,0.421,0.522,36,9105,4293,5281,3434,14.3
EL,0.29,0.7,0.108,0.248,31,14346,11582,4160,8107,29.4
ES,0.03,0.7,0.014,0.308,36,65881,54311,1976,38018,33.3
FI,0.63,0.9,0.476,0.63,37,57870,33453,36458,30108,30.5
FR,0.15,0.75,0.063,0.275,41,203160,123460,30474,92595,33.7
HR,0.37,0.8,0.113,0.257,32,7702,3614,2850,2892,31.9
HU,0.33,0.8,0.133,0.325,30,32249,18281,10642,14625,28.2
IE,0.0,0.7,0.0,0.047,36,1760,1630,0,1141,33.1
IT,0.17,0.7,0.079,0.31,36,178312,109970,30313,76979,33.8
LT,0.78,0.9,0.492,0.592,32,10987,6625,8570,5962,15.9
LU,0.29,0.8,0.195,0.517,32,5266,3066,1527,2453,29.0
LV,0.57,0.8,0.415,0.599,32,11195,5253,6381,4203,15.9
NL,0.26,0.75,0.09,0.265,38,46759,28372,12157,21279,35.7
PL,0.51,0.8,0.272,0.38,31,130002,63942,66301,51153,29.6
PT,0.33,0.7,0.064,0.139,41,5437,4390,1794,3073,40.5
RO,0.43,0.75,0.15,0.26,32,29236,14314,12571,10735,29.8
SE,0.86,0.9,0.663,0.655,42,66416,62989,57118,56690,30.7
SI,0.52,0.8,0.136,0.192,31,3192,1809,1660,1447,30.7
SK,0.74,0.9,0.327,0.369,32,13582,6614,10051,5952,29.4
