# 2nd CEER Report on Power Losses; https://www.ceer.eu/documents/104400/-/-/fd4178b4-ed00-6d06-5f4b-8b87d630b060; Table 22. Losses in distribution in %
Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
AT,3.92,3.76,3.44,3.35,3.26,3.22,3.00,2.95,2.88
BA,13.33,11.85,12.41,11.42,10.68,10.45,10.16,9.79,9.26
BE,4.54,4.36,4.58,4.41,4.23,4.36,4.35,4.40,4.27
CY,-,-,-,-,-,-,-,2.93,2.11
CZ,6.35,6.15,5.72,5.62,5.31,5.29,5.25,5.27,5.22
DE,10.57,-,-,-,-,-,-,-,3.15
DK,-,-,-,-,3.76,3.77,3.63,3.38,3.53
EE,6.72,5.93,5.78,5.35,5.65,5.03,4.42,4.95,4.55
EL,5.39,6.91,7.10,5.88,8.13,8.80,9.75,9.33,-
ES,7.51,7.54,8.33,8.67,8.70,8.63,8.48,8.10,8.47
FI,2.15,2.59,2.60,2.56,2.55,2.66,2.92,3.27,3.32
FR,-,-,-,-,-,5.99,5.98,6.02,6.01
GB,-,-,-,-,-,-,-,-,6.70
GE,-,10.31,8.62,7.84,7.38,7.76,7.71,7.39,6.80
HR,8.30,7.83,8.37,8.79,8.14,8.06,7.64,8.04,7.69
HU,9.05,8.81,8.75,8.69,8.52,8.36,8.08,7.84,7.36
IE,-,-,6.84,6.77,6.73,6.62,6.62,6.70,6.70
IT,-,-,-,-,-,-,-,5.23,-
KS*,41.22,38.15,36.69,35.54,33.50,31.82,29.69,29.30,27.91
LT,9.06,8.17,7.76,7.42,7.31,6.76,6.49,6.14,5.96
LU,-,-,-,-,-,-,10.48,8.87,8.37
LV,6.36,6.36,5.91,4.95,4.77,4.58,4.91,4.63,4.43
MD,-,-,-,10.46,9.35,8.42,8.34,8.30,8.31
ME,19.99,19.19,20.84,18.96,17.65,17.11,15.61,14.96,13.83
MK,17.16,18.11,17.38,16.42,15.50,14.76,14.67,14.44,14.18
MT,11.79,11.82,13.54,13.08,9.50,6.74,5.08,4.34,4.68
NL,4.97,4.59,4.47,4.75,4.48,4.26,4.17,4.43,4.38
NO,-,-,-,2.80,2.62,2.68,2.87,2.62,2.59
PL,6.56,5.74,5.75,5.71,5.46,5.32,4.73,4.56,4.45
PT,7.47,7.19,8.37,10.09,9.35,8.90,8.66,9.08,8.74
RS,16.28,15.51,15.16,14.91,14.36,14.43,12.99,12.96,12.20
SE,4.19,4.03,3.86,3.77,3.67,3.64,3.63,3.59,3.49
SI,5.83,4.94,5.25,4.94,4.76,4.74,4.56,4.28,4.18
SK,-,-,-,-,-,-,6.05,5.64,5.52
UA,10.73,10.44,10.54,10.17,10.08,9.79,9.90,9.89,9.84
