Point,Capacity,From_ID,To_ID,From,To,long,lat
Zeebrugge IZT,27.15416666666667,21Z0000000000074,21Z0000000000074,UK,BE,3.207561,51.3312211
Zeebrugge IZT,33.475,21Z0000000000074,21Z0000000000074,BE,UK,3.207561,51.3312211
Zelzate,11.291666666666666,21Z000000000019Y,21Z000000000019Y,BE,NL,3.8105002,51.2000036
Zelzate,16.958333333333332,21Z000000000019Y,21Z000000000019Y,NL,BE,3.8105002,51.2000036
Zelzate (Zebra Pijpleiding),5.083333333333333,21Z0000000000171,,BE,NL,3.8105002,51.2000036
Zandvliet H-gas,1.9583333333333333,21Z0000000001062,21Z0000000001062,NL,BE,5.1194794,51.2369349
Hilvarenbeek,26.75,21Z000000000243T,21Z000000000243T,NL,BE,5.146972817481462,51.48698395
Eynatten 1 (BE) // Lichtenbusch / Raeren (DE),5.508333333333333,21Z0000000000155,21Z0000000000155,DE,BE,6.103397449999998,50.70327935
Eynatten 1 (BE) // Lichtenbusch / Raeren (DE),5.395833333333333,21Z0000000000155,21Z0000000000155,BE,DE,6.103397449999998,50.70327935
Eynatten 2 (BE) // Lichtenbusch / Raeren (DE),11.179166666666667,21Z0000000000163,21Z0000000000163,DE,BE,6.1178153333333345,50.7104573
Eynatten 2 (BE) // Lichtenbusch / Raeren (DE),6.666666666666667,21Z0000000000163,21Z0000000000163,BE,DE,6.1178153333333345,50.7104573
Remich,1.5999999999999999,21Z0000000000406,21Z0000000000406,DE,LU,6.3676062,49.5442267
Blaregnies L (BE) / Taisnières B (FR),9.583333333333334,21Z000000000011D,21Z000000000011D,BE,FR,3.8980429,50.357777
Bocholtz,16.491666666666667,21Z000000000071W,21Z000000000071W,NL,DE,6.0065275,50.8184796
Bocholtz-Vetschau,0.2125,21Z000000000170U,21Z000000000170U,NL,DE,6.0065275,50.8184796
Zevenaar,13.65,21Z000000000072U,21Z000000000072U,NL,DE,6.077526279085048,51.927908099999996
Winterswijk,7.441666666666666,21Z000000000073S,21Z000000000073S,NL,DE,6.7378723633667885,51.96802135
Vlieghuis,3.0,21Z000000000135W,,NL,DE,6.8376926,52.6588631
Epe (DE) (Eneco) / Enschede (NL),3.9,,21W000000000012G,DE,NL,7.0283370514193555,52.17018885
Epe (DE) (Eneco) / Enschede (NL),1.8037224583333333,21W000000000012G,,NL,DE,7.0283370514193555,52.17018885
Epe (DE) / Enschede (NL),1.9795833333333333,21Z000000000108Z,,NL,DE,7.0283370514193555,52.17018885
Bunde (DE) / Oude Statenzijl (H) (NL) (GASCADE),12.420833333333334,21Z000000000074Q,21Z000000000074Q,DE,NL,7.2695448,53.184017
Bunde (DE) / Oude Statenzijl (H) (NL) (GUD),1.7874999999999999,21Z000000000076M,21Z000000000076M,DE,NL,7.2695448,53.184017
Bunde (DE) / Oude Statenzijl (H) (NL) (GUD),2.629166666666667,21Z000000000076M,21Z000000000076M,NL,DE,7.2695448,53.184017
Bunde (DE) / Oude Statenzijl (H) (NL) I (OGE),6.758333333333333,21Z000000000075O,21Z000000000075O,DE,NL,7.2695448,53.184017
Bunde (DE) / Oude Statenzijl (H) (NL) I (OGE),2.9791666666666665,21Z000000000075O,21Z000000000075O,NL,DE,7.2695448,53.184017
Bunde (DE) / Oude Statenzijl (L) (NL) (GTG Nord),2.9247913333333333,21Z000000000079G,21Z000000000079G,NL,DE,7.2695448,53.184017
Bunde (DE) / Oude Statenzijl (L) (NL) (GUD),7.575208624999999,21Z000000000078I,21Z000000000078I,NL,DE,7.2695448,53.184017
Nüttermoor H-1 (DE) (EWE) Renato / Oude Statenzijl (NL),2.8212547916666666,,21Z000000000077K,DE,NL,7.4360347,53.2625382
Nüttermoor H-1 (DE) (EWE) Renato / Oude Statenzijl (NL),2.03,21Z000000000077K,,NL,DE,7.4360347,53.2625382
Bacton (IUK),27.15416666666667,21Z000000000083P,21Z000000000084N,UK,UK,1.0080204,52.2632579
Moffat,19.841666666666665,21Z000000000081T,21Z000000000081T,UK,IE,-3.4400839,55.3327838
Oberkappel,6.6625000000000005,21Z000000000001G,21Z000000000001G,AT,DE,13.7707406,48.55284
Oberkappel,8.308333333333334,21Z000000000001G,21Z000000000001G,DE,AT,13.7707406,48.55284
