,importer,esc,exporter,value
0,BE,shipping-ftfuel,AR,182.1615272572155
1,BE,shipping-lch4,AR,91.22697630541164
2,BE,shipping-lh2,AR,104.43859036804487
3,BG,hvdc-to-elec,SA,51.65706274015358
4,BG,pipeline-h2,SA,68.10566247243335
6,DE,pipeline-h2,AR,69.88789921638937
7,DE,shipping-ftfuel,AR,182.24375712329777
8,DE,shipping-lch4,AR,91.61589919772385
9,DE,shipping-lh2,AR,104.43858851873729
12,EE,shipping-ftfuel,AR,182.52210726941368
13,EE,shipping-lch4,AR,91.65234145140607
14,EE,shipping-lh2,AR,107.44614391340409
15,ES,hvdc-to-elec,MA,33.8156906774716
16,ES,pipeline-h2,MA,53.32101609033417
17,ES,shipping-ftfuel,AR,182.01243859914985
18,ES,shipping-lch4,AR,90.90299692576285
19,ES,shipping-lh2,AR,102.46061173774919
22,FI,shipping-ftfuel,AR,182.49365807233582
23,FI,shipping-lch4,AR,92.08969911948437
24,FI,shipping-lh2,AR,107.44615010614157
25,GB,shipping-ftfuel,AR,182.2339850340641
26,GB,shipping-lch4,AR,91.27673687833187
27,GB,shipping-lh2,AR,104.43859036804487
28,GR,hvdc-to-elec,SA,47.127927723900086
29,GR,pipeline-h2,SA,64.18795044273045
30,GR,shipping-ftfuel,AR,182.26049054219877
31,GR,shipping-lch4,AR,91.61589919772385
32,GR,shipping-lh2,AR,98.51052118547967
35,IE,shipping-ftfuel,AR,182.1158742352419
36,IE,shipping-lch4,AR,91.22698217084326
37,IE,shipping-lh2,AR,104.43859036804487
38,IT,hvdc-to-elec,EG,43.748868497023665
39,IT,pipeline-h2,EG,61.07730835733746
40,IT,shipping-ftfuel,AR,190.04758692891002
41,IT,shipping-lch4,AR,91.61730792754746
42,IT,shipping-lh2,AR,100.99546124128042
45,LT,shipping-ftfuel,AR,182.47542971789662
46,LT,shipping-lch4,AR,91.69162132756114
47,LT,shipping-lh2,AR,107.44614391340409
50,LV,shipping-ftfuel,AR,197.86174537188373
51,LV,shipping-lch4,AR,91.65313498220655
52,LV,shipping-lh2,AR,107.44614391340409
53,NL,shipping-ftfuel,AR,182.17524752061587
54,NL,shipping-lch4,AR,91.22860996192286
55,NL,shipping-lh2,AR,104.43859036804487
58,PL,shipping-ftfuel,AR,182.51935857298088
59,PL,shipping-lch4,AR,91.64465517847141
60,PL,shipping-lh2,AR,107.44614391340409
61,RO,hvdc-to-elec,KZ,43.47453607157155
62,RO,pipeline-h2,KZ,61.732667054236096
63,SE,shipping-ftfuel,AR,182.51228499588916
64,SE,shipping-lch4,AR,91.64249825392628
65,SE,shipping-lh2,AR,107.44614391340409
