TERRITORY_ID,LEVEL_ID,NAME_HTML,VERSIONS,UNIT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
AL,0,Albania,2021,Persons,1608801.0,1659801.0,1711320.0,1762622.0,1814136.0,1864791.0,1914573.0,1965598.0,2022272.0,2081696.0,2135479.0,2187854.0,2243127.0,2296753.0,2350125.0,2404832.0,2458527.0,2513546.0,2566267.0,2617833.0,2671997.0,2726056.0,2784278.0,2843961.0,2904430.0,2964763.0,3022636.0,3083606.0,3148854.0,3224607.0,3256919.0,3237166.0,3217415.0,3197664.0,3177912.0,3158160.0,3138408.0,3118657.0,3098905.0,3073765.0,3060909.0,3060180.0,3051010.0,3039620.0,3026940.0,3011490.0,2992550.0,2970020.0,2947320.0,2927520.0,2913030.0,2905200.0,2900400.0,2895090.0,2889100.0,2880700.0,2876100.0,2873460.0,2866380.0,2854190.0,2837850.0,2811670.0,2777689.0,2743406.0,2712466.0,2686516.0,2673126.0
AT,0,Austria,2021,Persons,7047440.0,7086300.0,7129860.0,7175810.0,7223800.0,7270890.0,7322070.0,7377000.0,7415400.0,7441060.0,7465161.0,7498556.0,7544200.0,7586120.0,7599040.0,7578900.0,7565530.0,7568430.0,7562310.0,7549430.0,7548811.0,7568090.0,7574140.0,7561910.0,7561430.0,7564980.0,7569790.0,7574590.0,7585320.0,7619570.0,7715521.0,7792559.0,7840710.0,7905630.0,7936120.0,7948280.0,7959020.0,7968040.0,7976790.0,7992320.0,8011069.0,8042290.0,8081265.0,8118988.0,8170680.0,8226149.0,8267950.0,8295964.0,8322288.0,8342245.0,8361905.0,8389900.0,8428145.0,8477736.0,8544932.0,8637496.0,8740564.0,8795070.0,8838704.0,8878741.0,8917760.0,8953951.0,9042993.0,9131772.0,9170411.0,9193080.0,9203052.0
BE,0,Belgium,2021,Persons,9153499.0,9183961.0,9220587.0,9289778.0,9378124.0,9463680.0,9527821.0,9581003.0,9618766.0,9646043.0,9655558.0,9673173.0,9711127.0,9741733.0,9772428.0,9800715.0,9818240.0,9830367.0,9839545.0,9848394.0,9859251.0,9858994.0,9856313.0,9855529.0,9855382.0,9858316.0,9861832.0,9870246.0,9901674.0,9937708.0,9967388.0,10004498.0,10045168.0,10084484.0,10115615.0,10136800.0,10156600.0,10181257.0,10203020.0,10226400.0,10251000.0,10287000.0,10333000.0,10376000.0,10421000.0,10479000.0,10548000.0,10626000.0,10710522.0,10796000.0,10912223.0,11037376.0,11107000.0,11159000.0,11209000.0,11274000.0,11331000.0,11375000.0,11427000.0,11489000.0,11539000.0,11586000.0,11680000.0,11787434.0,11854032.0,11895005.0,11896688.0
BG,0,Bulgaria,2021,Persons,7867374.0,7943118.0,8012946.0,8078145.0,8144340.0,8204168.0,8258057.0,8310226.0,8369603.0,8434172.0,8489573.0,8536395.0,8576200.0,8620967.0,8678745.0,8720742.0,8758599.0,8804183.0,8814032.0,8825940.0,8861535.0,8856820.0,8818585.0,8781797.0,8745007.0,8708213.0,8671423.0,8634630.0,8597840.0,8561047.0,8524921.0,8477671.0,8419307.0,8361615.0,8303924.0,8246231.0,8188538.0,8130848.0,8073150.0,8015456.0,7957731.0,7899618.0,7837395.0,7775544.0,7716583.0,7658613.0,7601087.0,7545343.0,7492565.0,7444450.0,7395606.0,7348330.0,7265541.0,7160011.0,7073579.0,6984233.0,6894146.0,6803475.0,6710806.0,6616734.0,6550704.0,6507310.0,6465100.0,6446600.0,6420589.0,6377708.0,6359718.0
CH,0,Switzerland,2021,Persons,5328000.0,5434000.0,5574000.0,5694000.0,5789000.0,5856478.0,5918000.0,5992000.0,6068000.0,6136393.0,6180890.0,6213413.0,6260963.0,6307355.0,6341411.0,6338637.0,6302508.0,6281179.0,6281744.0,6294371.0,6319414.0,6354081.0,6391316.0,6418778.0,6441870.0,6470369.0,6504130.0,6545112.0,6593395.0,6646919.0,6715525.0,6799984.0,6875372.0,6938271.0,6993800.0,7040692.0,7071856.0,7088912.0,7110007.0,7143999.0,7181725.0,7227331.0,7284759.0,7339006.0,7389632.0,7437120.0,7483940.0,7551125.0,7647682.0,7743836.0,7827977.0,7912404.0,7996867.0,8089160.0,8188650.0,8282400.0,8373340.0,8451840.0,8514330.0,8575280.0,8638174.0,8704553.0,8777094.0,8888096.0,8972996.0,9009354.0,9061161.0
CY,0,Cyprus,2021,Persons,441788.0,443559.0,446446.0,450142.0,453453.0,456572.0,459921.0,463463.0,467275.0,471202.0,475283.0,480249.0,485947.0,486948.0,495400.0,502000.0,497950.0,497800.0,499650.0,503550.0,509050.0,517573.0,523734.0,528050.0,534950.0,541500.0,547750.0,553750.0,559650.0,567700.0,579900.0,595100.0,611150.0,626050.0,639150.0,650850.0,661300.0,670750.0,679050.0,686700.0,694000.0,701500.0,709610.0,718310.0,727980.0,738540.0,750970.0,767130.0,786630.0,808040.0,829450.0,850880.0,863950.0,861940.0,852500.0,847660.0,851560.0,859520.0,870070.0,881950.0,892000.0,900350.0,912700.0,927110.0,941026.0,953290.0,958040.0
CZ,0,Czechia,2021,Persons,9602011.0,9586653.0,9624662.0,9670689.0,9727807.0,9779362.0,9821045.0,9852901.0,9876348.0,9896583.0,9858073.0,9826816.0,9867635.0,9922270.0,9988462.0,10058624.0,10125943.0,10186759.0,10242101.0,10292343.0,10304196.0,10300595.0,10314829.0,10323860.0,10330216.0,10337121.0,10342230.0,10347323.0,10355279.0,10361071.0,10333358.0,10308580.0,10319124.0,10329858.0,10333591.0,10327255.0,10315350.0,10303640.0,10294377.0,10283864.0,10255396.0,10218503.0,10198315.0,10194005.0,10197346.0,10212358.0,10240002.0,10299611.0,10384607.0,10444387.0,10474581.0,10495736.0,10509822.0,10511504.0,10525576.0,10543704.0,10566549.0,10591011.0,10627157.0,10670475.0,10594392.0,10505775.0,10672041.0,10864046.0,10979511.0,11069519.0,10954360.0
DE,0,Germany,2021,Persons,72815001.0,73377731.0,74025876.0,74714441.0,75318442.0,75963794.0,76600412.0,76951439.0,77294408.0,77909786.0,78169388.0,78312939.0,78688549.0,78936766.0,78967534.0,78673655.0,78337050.0,78159920.0,78091926.0,78126456.0,78288676.0,78408001.0,78333471.0,78128387.0,77858781.0,77684973.0,77720539.0,77840021.0,78144722.0,78689704.0,79371456.0,80014006.0,80624709.0,81156467.0,81438448.0,81678150.0,81914934.0,82034874.0,82047293.0,82100335.0,82198660.0,82152998.0,81960305.0,81758893.0,81550968.0,81352405.0,81144245.0,80940021.0,80741143.0,80543659.0,80326870.0,80275000.0,80426000.0,80646000.0,80983000.0,81687000.0,82349000.0,82657000.0,82906000.0,83093000.0,83161000.0,83196000.0,83798000.0,83902026.0,83907758.0,84441625.0,85129261.0
DK,0,Denmark,2021,Persons,4579605.0,4611690.0,4647729.0,4684485.0,4722075.0,4759014.0,4797382.0,4835356.0,4864886.0,4891862.0,4928760.0,4963130.0,4991600.0,5021860.0,5045300.0,5059860.0,5072600.0,5088421.0,5104251.0,5116804.0,5123029.0,5121700.0,5117811.0,5114220.0,5111350.0,5113693.0,5120537.0,5127470.0,5129780.0,5132596.0,5140941.0,5154090.0,5171050.0,5188629.0,5206183.0,5233376.0,5263079.0,5284910.0,5304221.0,5321801.0,5339697.0,5358316.0,5375337.0,5391116.0,5404269.0,5419000.0,5437000.0,5462166.0,5493000.0,5522000.0,5548247.0,5571000.0,5591000.0,5615243.0,5643000.0,5683000.0,5728324.0,5765000.0,5794000.0,5815867.0,5831636.0,5856737.0,5904278.0,5946954.0,5980029.0,6012602.0,6027449.0
EE,0,Estonia,2021,Persons,1211539.0,1225077.0,1241624.0,1258859.0,1277088.0,1294568.0,1308598.0,1318948.0,1331215.0,1345251.0,1360077.0,1376957.0,1392519.0,1405953.0,1418170.0,1429353.0,1439577.0,1450213.0,1460190.0,1468335.0,1477220.0,1487668.0,1498415.0,1508747.0,1518618.0,1528782.0,1540192.0,1552222.0,1561901.0,1568132.0,1569176.0,1561315.0,1533090.0,1494129.0,1462515.0,1436635.0,1415595.0,1399536.0,1386157.0,1390245.0,1397445.0,1388600.0,1379785.0,1371190.0,1363850.0,1355680.0,1348150.0,1341435.0,1337850.0,1335700.0,1332530.0,1328182.0,1323508.0,1318704.0,1314963.0,1315884.0,1316624.0,1317346.0,1321180.0,1326732.0,1330207.0,1330934.0,1348841.0,1370288.0,1372603.0,1370516.0,1366110.0
