Country,Households (thousands),Source
AL,772.0,https://www.helgilibrary.com/indicators/number-of-households/albania/
AT,4039.8,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
BA,1120.0,https://www.helgilibrary.com/indicators/number-of-households/bosnia-and-herzegovina/
BE,5055.2,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
BG,2934.6,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
CH,4000.0,"https://www.swissinfo.ch/eng/life-aging/number-of-single-person-households-triples-in-switzerland/48863422#:~:text=At%20the%20end%20of%202022,inhabited%20by%20just%20one%20person.&text=Just%20under%2030%25%20of%20households,average%20household%20has%202.18%20persons."
CZ,4852.5,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
DE,41039.5,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
DK,2967.6,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
EE,681.3,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
ES,18866.0,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
FI,2831.0,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
FR,31050.2,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
GB,28200.0,"https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/families/bulletins/familiesandhouseholds/2022#:~:text=Households-,There%20were%20an%20estimated%2028.2%20million%20households%20in%20the%20UK,2012%20(26.6%20million%20households)."
GR,4123.4,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
HR,1460.9,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
HU,4098.2,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
IE,1949.7,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
IT,25787.9,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
LT,1395.5,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
LU,266.1,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
LV,868.3,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
ME,192.2,"https://www.monstat.org/userfiles/file/popis2011/saopstenje/domac%20i%20porodice%20,%20en-za%20sajt.pdf"
MK,598.6,https://www.stat.gov.mk/PrikaziSoopstenie_en.aspx?rbrtxt=146
NL,8346.4,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
NO,2545.9,https://www.ssb.no/en/befolkning/barn-familier-og-husholdninger/statistikk/familier-og-husholdninger
PL,14435.4,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
PT,3795.1,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
RO,7450.8,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
RS,2589.3,"https://www.stat.gov.rs/en-US/vesti/20230707-domacinstavapremabrclan/?a=0&s=1103#:~:text=There%20is%20a%20total%20of,average%20household%20has%202.55%20members.&text=The%20most%20frequent%20are%20one,%2Dmember%20households%20(14.5%25)."
SE,5474.2,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
SI,835.4,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
SK,1852.1,https://www.statista.com/statistics/868008/number-of-private-households-in-the-eu/
