,project_status,length,build_year,underground,v_nom,tags,geometry,num_parallel
14637,under_construction,205.0,2020,False,330.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/62"", ""tyndp2020_proj_id""=>""62"", ""tyndp2020_invest_id""=>""386"", ""tyndp_status""=>""under_construction""","LINESTRING (25.166931 58.185909, 24.271545 56.917998)",2
5735,under_construction,15.0,2020,False,330.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/62"", ""tyndp2020_proj_id""=>""62"", ""tyndp2020_invest_id""=>""1062"", ""tyndp_status""=>""under_construction""","LINESTRING (24.271545 56.917998, 24.264679 56.854228)",2
6031,in_permitting,32.0,2024,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/103"", ""tyndp2020_proj_id""=>""103"", ""tyndp2020_invest_id""=>""1490"", ""tyndp_status""=>""in_permitting""","LINESTRING (5.763702 52.619725, 6.14410399999999 52.52207)",2
5123,in_permitting,35.0,2023,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/103"", ""tyndp2020_proj_id""=>""103"", ""tyndp2020_invest_id""=>""1539"", ""tyndp_status""=>""in_permitting""","LINESTRING (4.592285 51.916321, 4.83398400000001 51.704055)",2
8591,in_permitting,80.0,2025,False,330.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170"", ""tyndp2020_proj_id""=>""170"", ""tyndp2020_invest_id""=>""382"", ""tyndp_status""=>""in_permitting""","LINESTRING (25.132599 54.591958, 25.415497 54.854478)",2
6377,under_consideration,76.0,2025,False,330.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170"", ""tyndp2020_proj_id""=>""170"", ""tyndp2020_invest_id""=>""1004"", ""tyndp_status""=>""under_consideration""","LINESTRING (24.689026 58.377959, 25.19989 58.921664)",2
14651,in_permitting,133.0,2025,False,330.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170"", ""tyndp2020_proj_id""=>""170"", ""tyndp2020_invest_id""=>""1010"", ""tyndp_status""=>""in_permitting""","LINESTRING (26.559448 58.359953, 25.473175 57.541628)",2
8435,planned_not_yet_permitting,41.5,2023,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170"", ""tyndp2020_proj_id""=>""170"", ""tyndp2020_invest_id""=>""1663"", ""tyndp_status""=>""planned_not_yet_permitting""","LINESTRING (14.440155 53.16571, 14.831543 53.330873)",2
12697,in_permitting,70.0,2021,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/230"", ""tyndp2020_proj_id""=>""230"", ""tyndp2020_invest_id""=>""353"", ""tyndp_status""=>""in_permitting""","LINESTRING (14.440155 53.16571, 15.038505 52.76751)",2
14734,under_construction,49.0,2022,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/264"", ""tyndp2020_proj_id""=>""264"", ""tyndp2020_invest_id""=>""1284"", ""tyndp_status""=>""under_construction""","LINESTRING (10.362854 46.809459, 9.79568500000001 46.561693)",2
