,x,y,tyndp_status,commissioning_year,v_nom,dc,tags
4662,14.3524,49.1584,under_construction,2023,380.0,False,"""name""=>""Kocin"", ""country""=>""CZ"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/200"", ""tyndp2020_proj_id""=>""200"", ""tyndp2020_invest_id""=>""1711"", ""tyndp_status""=>""under_construction"""
5727,15.038505,52.76751,in_permitting,2021,380.0,False,"""name""=>""Baczyna"", ""country""=>""PL"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/230"", ""tyndp2020_proj_id""=>""230"", ""tyndp2020_invest_id""=>""1035"", ""tyndp_status""=>""in_permitting"""
4587,12.675274,50.160683,under_construction,2021,220.0,False,"""name""=>""Vitkov"", ""country""=>""CZ"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/200"", ""tyndp2020_proj_id""=>""200"", ""tyndp2020_invest_id""=>""1712"", ""tyndp_status""=>""under_construction"""
2811,-8.582626164089064,41.764651842353146,in_permitting,2022,380.0,False,"""name""=>""Ponte de Lima"", ""country""=>""PT"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/4"", ""tyndp2020_proj_id""=>""4"", ""tyndp2020_invest_id""=>""500"", ""tyndp_status""=>""in_permitting"""
2623,-2.880286,43.349776,planned_not_yet_permitting,2025,220.0,False,"""name""=>""Gatica"", ""country""=>""ES"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/378"", ""tyndp2020_proj_id""=>""378"", ""tyndp2020_invest_id""=>""1584"", ""tyndp_status""=>""planned_not_yet_permitting"""
2135,18.23576,42.610562,under_consideration,2035,220.0,False,"""name""=>""Plat"", ""country""=>""HR"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1056"", ""tyndp2020_proj_id""=>""1056"", ""tyndp2020_invest_id""=>""1725"", ""tyndp_status""=>""under_consideration"""
6079,-8.268819,53.134319,planned_not_yet_permitting,2025,245.0,False,"""name""=>""Oldstreet"", ""country""=>""IE"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/349"", ""tyndp2020_proj_id""=>""349"", ""tyndp2020_invest_id""=>""1654"", ""tyndp_status""=>""planned_not_yet_permitting"""
5932,-3.474151,53.250084,planned_not_yet_permitting,2025,380.0,True,"""name""=>""Bodelwyddan"", ""country""=>""UK"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/349"", ""tyndp2020_proj_id""=>""349"", ""tyndp2020_invest_id""=>""1646"", ""tyndp_status""=>""planned_not_yet_permitting"""
8165,-6.602175,53.348929,planned_not_yet_permitting,2025,320.0,True,"""name""=>""Maynooth"", ""country""=>""IE"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/349"", ""tyndp2020_proj_id""=>""349"", ""tyndp2020_invest_id""=>""1642"", ""tyndp_status""=>""planned_not_yet_permitting"""
7632,9.852428,51.649318,under_construction,2024,380.0,False,"""name""=>""Hardegsen"", ""country""=>""DE"", ""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/1043"", ""tyndp2020_proj_id""=>""1043"", ""tyndp2020_invest_id""=>""1686"", ""tyndp_status""=>""under_construction"""
