line_id,tyndp_status,length,commissioning_year,underground,v_nom,tags,bus0,bus1,geometry
14637,under_construction,205.0,2020,False,330.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/62"", ""tyndp2020_proj_id""=>""62"", ""tyndp2020_invest_id""=>""386"", ""tyndp_status""=>""under_construction""",6273,6282,"LINESTRING (25.166931 58.185909, 24.271545 56.917998)"
5735,under_construction,15.0,2020,False,330.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/62"", ""tyndp2020_proj_id""=>""62"", ""tyndp2020_invest_id""=>""1062"", ""tyndp_status""=>""under_construction""",6282,6283,"LINESTRING (24.271545 56.917998, 24.264679 56.854228)"
6031,in_permitting,32.0,2024,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/103"", ""tyndp2020_proj_id""=>""103"", ""tyndp2020_invest_id""=>""1490"", ""tyndp_status""=>""in_permitting""",5757,5759,"LINESTRING (5.763702 52.619725, 6.14410399999999 52.52207)"
5123,in_permitting,35.0,2023,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/103"", ""tyndp2020_proj_id""=>""103"", ""tyndp2020_invest_id""=>""1539"", ""tyndp_status""=>""in_permitting""",5091,5093,"LINESTRING (4.592285 51.916321, 4.83398400000001 51.704055)"
8591,in_permitting,80.0,2025,False,330.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170"", ""tyndp2020_proj_id""=>""170"", ""tyndp2020_invest_id""=>""382"", ""tyndp_status""=>""in_permitting""",5547,5566,"LINESTRING (25.132599 54.591958, 25.415497 54.854478)"
6377,under_consideration,76.0,2025,False,330.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170"", ""tyndp2020_proj_id""=>""170"", ""tyndp2020_invest_id""=>""1004"", ""tyndp_status""=>""under_consideration""",6272,6566,"LINESTRING (24.689026 58.377959, 25.19989 58.921664)"
14651,in_permitting,133.0,2025,False,330.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/170"", ""tyndp2020_proj_id""=>""170"", ""tyndp2020_invest_id""=>""1010"", ""tyndp_status""=>""in_permitting""",6287,6289,"LINESTRING (26.559448 58.359953, 25.473175 57.541628)"
12697,in_permitting,70.0,2021,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/230"", ""tyndp2020_proj_id""=>""230"", ""tyndp2020_invest_id""=>""353"", ""tyndp_status""=>""in_permitting""",5724,5727,"LINESTRING (14.440155 53.16571, 15.038505 52.76751)"
10280,in_permitting,100.0,2024,False,400.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/230"", ""tyndp2020_proj_id""=>""230"", ""tyndp2020_invest_id""=>""355"", ""tyndp_status""=>""in_permitting""",4630,4644,"LINESTRING (15.086975 51.069017, 16.365509 50.816348)"
14748,under_construction,27.0,2021,False,380.0,"""url""=>""https://tyndp2020-project-platform.azurewebsites.net/projectsheets/transmission/245"", ""tyndp2020_proj_id""=>""245"", ""tyndp2020_invest_id""=>""1246"", ""tyndp_status""=>""under_construction""",5767,5784,"LINESTRING (6.936493 53.145947, 7.389679 53.097323)"
