datetime,ES61,ES24,ES42,ES51,ES22,ES52,ES11,ES53,ES70,ES23,ES21,ES12,ES62,Total
2022-01-01 00:00:00+01:00,5951.72,1869.67,758.74,3788.23,1222.32,2853.54,1246.98,822.9,865.4,784.7,1968.07,854.17,3263.71,26250.15
2022-02-01 00:00:00+01:00,5951.72,1869.67,758.74,3788.23,1222.32,2853.54,1246.98,822.9,865.4,784.7,1968.07,854.17,3263.71,26250.15
2022-03-01 00:00:00+01:00,5951.72,1869.67,758.74,3788.23,1222.32,2853.54,1246.98,822.9,865.4,784.7,1968.07,854.17,3263.71,26250.15
2022-04-01 00:00:00+02:00,5951.72,1869.67,758.74,3788.23,1222.32,2853.54,1246.98,822.9,865.4,784.7,1968.07,854.17,3263.71,26250.15
2022-05-01 00:00:00+02:00,5951.72,1869.67,758.74,3788.23,1222.32,2853.54,1246.98,822.9,865.4,784.7,1968.07,854.17,3263.71,26250.15
2022-06-01 00:00:00+02:00,5951.72,1869.67,758.74,3788.23,1222.32,2853.54,1246.98,822.9,865.4,784.7,1968.07,854.17,3263.71,26250.15
2022-07-01 00:00:00+02:00,5951.72,1869.67,758.74,3788.23,1222.32,2853.54,1246.98,822.9,865.4,784.7,1968.07,854.17,3263.71,26250.15
2022-08-01 00:00:00+02:00,5951.72,1869.67,758.74,3788.23,1222.32,2853.54,1246.98,822.9,865.4,784.7,1968.07,854.17,3263.71,26250.15
2022-09-01 00:00:00+02:00,5951.72,1869.67,758.74,3788.23,1222.32,2853.54,1246.98,822.9,865.4,784.7,1968.07,854.17,3263.71,26250.15
2022-10-01 00:00:00+02:00,5951.72,1869.67,758.74,3788.23,1222.32,2853.54,1246.98,822.9,865.4,784.7,1968.07,854.17,3263.71,26250.15
2022-11-01 00:00:00+01:00,5951.72,1869.67,758.74,3788.23,1222.32,2853.54,1246.98,822.9,865.4,784.7,1968.07,854.17,3263.71,26250.15
2022-12-01 00:00:00+01:00,5951.72,1869.67,758.74,3788.23,1222.32,2853.54,1246.98,822.9,865.4,784.7,1968.07,854.17,3263.71,26250.15
