datetime,ES61,ES24,ES13,ES41,ES42,ES51,ES22,ES52,ES43,ES11,ES53,ES70,ES23,ES21,ES12,ES62,Total
2022-01-01 00:00:00+01:00,3518.02,4675.8,35.31,6397.73,4225.72,1274.86,1327.94,1243.03,39.38,3879.25,3.61,555.98,448.12,154.28,658.08,262.77,28699.87
2022-02-01 00:00:00+01:00,3518.02,4751.0,35.31,6463.73,4225.72,1274.86,1355.21,1243.03,39.38,3879.25,3.61,555.98,448.12,154.28,698.08,262.77,28908.34
2022-03-01 00:00:00+01:00,3521.52,4865.1,35.31,6498.93,4225.72,1274.86,1355.21,1243.03,39.38,3879.35,3.61,561.38,448.12,154.28,698.08,262.77,29066.64
2022-04-01 00:00:00+02:00,3536.52,4865.1,35.31,6529.98,4225.72,1274.86,1355.21,1243.03,39.38,3879.35,3.61,564.18,448.12,154.28,698.08,262.77,29115.49
2022-05-01 00:00:00+02:00,3536.52,4918.1,35.31,6529.98,4639.92,1274.86,1355.21,1243.03,39.38,3879.35,3.61,564.18,448.12,154.28,698.08,262.77,29582.69
2022-06-01 00:00:00+02:00,3536.52,4918.1,35.31,6529.98,4689.92,1274.86,1355.21,1243.03,39.38,3879.35,3.61,569.58,448.12,154.28,698.08,262.77,29638.09
2022-07-01 00:00:00+02:00,3536.52,4918.1,35.31,6529.98,4689.92,1274.86,1355.21,1243.03,39.38,3879.35,3.61,588.78,448.12,154.28,698.08,262.77,29657.29
2022-08-01 00:00:00+02:00,3538.02,4928.1,35.31,6529.98,4689.92,1324.65,1355.21,1243.03,39.38,3879.35,3.61,588.78,448.12,154.28,698.08,262.77,29718.58
2022-09-01 00:00:00+02:00,3576.52,4928.1,35.31,6558.58,4703.92,1324.65,1355.21,1243.03,39.38,3879.35,3.61,588.78,448.12,154.28,698.08,262.77,29799.68
2022-10-01 00:00:00+02:00,3576.52,4928.1,35.31,6618.98,4703.92,1324.65,1355.21,1243.03,39.38,3879.35,3.61,589.68,448.12,154.28,698.08,262.77,29860.98
2022-11-01 00:00:00+01:00,3576.52,4986.3,35.31,6618.98,4778.92,1368.65,1355.21,1243.03,39.38,3879.35,3.61,589.68,448.12,154.28,698.08,262.77,30038.18
2022-12-01 00:00:00+01:00,3612.52,5035.8,35.31,6630.98,4778.92,1368.65,1355.21,1243.03,39.38,3887.3,3.61,598.68,448.12,154.28,698.08,262.77,30152.63
