datetime,ES61,ES24,ES13,ES41,ES42,ES51,ES22,ES52,ES30,ES43,ES11,ES53,ES70,ES23,Melilla,ES21,ES12,ES62,Total
2022-01-01 00:00:00+01:00,3146.4,1581.56,3.8,1042.24,3140.57,292.24,166.11,407.42,63.53,3958.1,18.05,157.1,201.64,99.22,0.06,51.19,1.03,1350.56,15680.83
2022-02-01 00:00:00+01:00,3175.58,1627.76,3.8,1091.36,3238.07,292.24,166.21,410.71,63.53,3975.87,18.05,157.1,201.64,99.22,0.06,51.19,1.03,1350.56,15923.98
2022-03-01 00:00:00+01:00,3256.49,1628.86,4.54,1112.89,3385.56,293.38,166.21,410.71,63.53,3977.93,18.05,169.9,201.64,99.67,0.06,51.19,1.03,1356.25,16197.9
2022-04-01 00:00:00+02:00,3335.07,1628.86,4.54,1159.2,3385.56,293.68,166.21,410.71,63.53,3977.93,18.05,183.7,205.64,99.67,0.06,51.19,1.03,1360.05,16344.68
2022-05-01 00:00:00+02:00,3556.62,1657.36,4.54,1209.03,3539.62,294.5,166.21,413.91,63.53,4029.93,18.05,200.44,205.64,99.67,0.06,52.19,1.03,1363.71,16876.04
2022-06-01 00:00:00+02:00,3674.63,1658.03,4.54,1221.39,3597.93,295.15,166.81,413.91,63.53,4050.53,18.05,208.24,205.64,99.67,0.06,52.18,1.03,1363.71,17095.04
2022-07-01 00:00:00+02:00,3723.43,1659.03,4.54,1284.19,3780.93,296.51,166.91,417.99,63.53,4614.18,18.05,211.19,205.64,99.67,0.06,52.19,1.03,1383.48,17982.55
2022-08-01 00:00:00+02:00,3817.29,1661.48,4.74,1333.43,3780.93,296.59,166.91,423.62,63.52,4688.7,18.05,215.62,205.64,99.67,0.06,52.18,1.03,1399.39,18228.86
2022-09-01 00:00:00+02:00,3817.29,1753.46,4.74,1410.62,3817.95,296.59,167.21,423.62,63.52,4733.5,18.05,215.66,205.64,99.67,0.06,52.18,1.03,1399.39,18480.18
2022-10-01 00:00:00+02:00,3871.25,1806.93,4.81,1412.92,3893.95,298.7,167.21,423.62,63.52,4791.74,18.05,215.66,205.64,99.67,0.06,52.18,1.09,1401.6,18728.6
2022-11-01 00:00:00+01:00,4070.58,1807.93,4.81,1414.01,4073.99,299.51,167.31,423.33,63.52,5295.77,18.15,219.01,209.19,99.87,0.06,52.34,1.09,1405.56,19626.03
2022-12-01 00:00:00+01:00,4212.96,1855.86,4.81,1453.32,4104.92,299.33,167.31,426.78,63.52,5345.74,18.14,229.33,212.19,100.0,0.06,52.32,1.09,1405.97,19953.66
