index,year,sector,regain,maintain,deindustrial
0,2024,steel,128.81817391304347,126.219,123.61982608695652
1,2025,steel,131.41734782608694,126.219,121.02065217391304
2,2026,steel,134.01652173913044,126.219,118.42147826086956
3,2027,steel,136.6156956521739,126.219,115.82230434782608
4,2028,steel,139.21486956521738,126.219,113.2231304347826
5,2029,steel,141.81404347826086,126.219,110.62395652173912
6,2030,steel,144.41321739130433,126.219,108.02478260869565
7,2031,steel,147.01239130434783,126.219,105.42560869565216
8,2032,steel,149.6115652173913,126.219,102.82643478260869
9,2033,steel,152.21073913043477,126.219,100.22726086956521
10,2034,steel,154.80991304347825,126.219,97.62808695652173
11,2035,steel,157.40908695652175,126.219,95.02891304347825
12,2036,steel,160.00826086956522,126.219,92.42973913043477
13,2037,steel,162.6074347826087,126.219,89.8305652173913
14,2038,steel,165.20660869565216,126.219,87.23139130434782
15,2039,steel,167.80578260869567,126.219,84.63221739130434
16,2040,steel,170.40495652173914,126.219,82.03304347826085
17,2041,steel,173.0041304347826,126.219,79.43386956521738
18,2042,steel,175.60330434782608,126.219,76.8346956521739
19,2043,steel,178.20247826086955,126.219,74.23552173913042
20,2044,steel,180.80165217391306,126.219,71.63634782608695
21,2045,steel,183.40082608695653,126.219,69.03717391304346
22,2046,steel,186.0,126.219,66.43799999999999
23,2047,steel,188.59917391304347,126.219,63.83882608695651
24,2048,steel,191.19834782608694,126.219,61.23965217391303
25,2049,steel,193.79752173913045,126.219,58.64047826086956
26,2050,steel,196.39669565217392,126.219,56.04130434782607
0,2024,cement,194.9090909090909,191,187.0909090909091
1,2025,cement,196.86363636363637,191,185.13636363636363
2,2026,cement,198.8181818181818,191,183.1818181818182
3,2027,cement,200.77272727272728,191,181.22727272727272
4,2028,cement,202.72727272727272,191,179.27272727272728
5,2029,cement,204.6818181818182,191,177.3181818181818
6,2030,cement,206.63636363636363,191,175.36363636363637
7,2031,cement,208.5909090909091,191,173.4090909090909
8,2032,cement,210.54545454545456,191,171.45454545454544
9,2033,cement,212.5,191,169.5
10,2034,cement,214.45454545454544,191,167.54545454545456
11,2035,cement,216.4090909090909,191,165.5909090909091
12,2036,cement,218.36363636363637,191,163.63636363636363
13,2037,cement,220.3181818181818,191,161.6818181818182
14,2038,cement,222.27272727272728,191,159.72727272727272
15,2039,cement,224.22727272727272,191,157.77272727272728
